category,exercise
upper_body,Push Ups
upper_body,Explosive Push Ups
upper_body,Knuckle Push Ups
upper_body,Spartan Push Ups
upper_body,Push ups – one hand forward on release
upper_body,Push ups – one-hand up on release
middle_body,Frogger
middle_body,Plank
middle_body,Side plank
middle_body,Commando plank
middle_body,Shoulder Tap
middle_body,Reverse Crunch
middle_body,Tuck and crunch
middle_body,Caterpillar
lower_body,Forward Lunges
lower_body,Reverse Lunges
lower_body,Jumping Lunges
lower_body,Jump Burpees
lower_body,Wall Sit
lower_body,Squat hops
lower_body,Pulsing Squats
